"","nrow","nfeatures","num_trees","mtry_ratio","sample_fraction","replace"
"1",100,10,500,0.5,0.1,1
"2",1000,10,500,0.5,0.1,1
"3",10000,10,500,0.5,0.1,1
"4",100000,10,500,0.5,0.1,1
"5",100,100,500,0.5,0.1,1
"6",1000,100,500,0.5,0.1,1
"7",10000,100,500,0.5,0.1,1
"8",100000,100,500,0.5,0.1,1
"9",100,1000,500,0.5,0.1,1
"10",1000,1000,500,0.5,0.1,1
"11",10000,1000,500,0.5,0.1,1
"13",100,10,1000,0.5,0.1,1
"14",1000,10,1000,0.5,0.1,1
"15",10000,10,1000,0.5,0.1,1
"16",100000,10,1000,0.5,0.1,1
"17",100,100,1000,0.5,0.1,1
"18",1000,100,1000,0.5,0.1,1
"19",10000,100,1000,0.5,0.1,1
"20",100000,100,1000,0.5,0.1,1
"21",100,1000,1000,0.5,0.1,1
"22",1000,1000,1000,0.5,0.1,1
"23",10000,1000,1000,0.5,0.1,1
"25",100,10,2000,0.5,0.1,1
"26",1000,10,2000,0.5,0.1,1
"27",10000,10,2000,0.5,0.1,1
"28",100000,10,2000,0.5,0.1,1
"29",100,100,2000,0.5,0.1,1
"30",1000,100,2000,0.5,0.1,1
"31",10000,100,2000,0.5,0.1,1
"32",100000,100,2000,0.5,0.1,1
"33",100,1000,2000,0.5,0.1,1
"34",1000,1000,2000,0.5,0.1,1
"35",10000,1000,2000,0.5,0.1,1
"37",100,10,500,0.5,0.55,1
"38",1000,10,500,0.5,0.55,1
"39",10000,10,500,0.5,0.55,1
"40",100000,10,500,0.5,0.55,1
"41",100,100,500,0.5,0.55,1
"42",1000,100,500,0.5,0.55,1
"43",10000,100,500,0.5,0.55,1
"44",100000,100,500,0.5,0.55,1
"45",100,1000,500,0.5,0.55,1
"46",1000,1000,500,0.5,0.55,1
"47",10000,1000,500,0.5,0.55,1
"49",100,10,1000,0.5,0.55,1
"50",1000,10,1000,0.5,0.55,1
"51",10000,10,1000,0.5,0.55,1
"52",100000,10,1000,0.5,0.55,1
"53",100,100,1000,0.5,0.55,1
"54",1000,100,1000,0.5,0.55,1
"55",10000,100,1000,0.5,0.55,1
"56",100000,100,1000,0.5,0.55,1
"57",100,1000,1000,0.5,0.55,1
"58",1000,1000,1000,0.5,0.55,1
"59",10000,1000,1000,0.5,0.55,1
"61",100,10,2000,0.5,0.55,1
"62",1000,10,2000,0.5,0.55,1
"63",10000,10,2000,0.5,0.55,1
"64",100000,10,2000,0.5,0.55,1
"65",100,100,2000,0.5,0.55,1
"66",1000,100,2000,0.5,0.55,1
"67",10000,100,2000,0.5,0.55,1
"68",100000,100,2000,0.5,0.55,1
"69",100,1000,2000,0.5,0.55,1
"70",1000,1000,2000,0.5,0.55,1
"71",10000,1000,2000,0.5,0.55,1
"73",100,10,500,0.5,1,1
"74",1000,10,500,0.5,1,1
"75",10000,10,500,0.5,1,1
"76",100000,10,500,0.5,1,1
"77",100,100,500,0.5,1,1
"78",1000,100,500,0.5,1,1
"79",10000,100,500,0.5,1,1
"80",100000,100,500,0.5,1,1
"81",100,1000,500,0.5,1,1
"82",1000,1000,500,0.5,1,1
"83",10000,1000,500,0.5,1,1
"85",100,10,1000,0.5,1,1
"86",1000,10,1000,0.5,1,1
"87",10000,10,1000,0.5,1,1
"88",100000,10,1000,0.5,1,1
"89",100,100,1000,0.5,1,1
"90",1000,100,1000,0.5,1,1
"91",10000,100,1000,0.5,1,1
"92",100000,100,1000,0.5,1,1
"93",100,1000,1000,0.5,1,1
"94",1000,1000,1000,0.5,1,1
"95",10000,1000,1000,0.5,1,1
"97",100,10,2000,0.5,1,1
"98",1000,10,2000,0.5,1,1
"99",10000,10,2000,0.5,1,1
"100",100000,10,2000,0.5,1,1
"101",100,100,2000,0.5,1,1
"102",1000,100,2000,0.5,1,1
"103",10000,100,2000,0.5,1,1
"104",100000,100,2000,0.5,1,1
"105",100,1000,2000,0.5,1,1
"106",1000,1000,2000,0.5,1,1
"107",10000,1000,2000,0.5,1,1
