task_id,instances,features,n,error_rate,auc_automl,auc_autogluon,auc_autosklearn,auc_ranger,auc_nsrb_catboost,auc_nsrb_xgboost,auc_nsrb_lightgbm,se_autogluon,se_automl,se_autosklearn,se_nsrb_catboost,se_nsrb_lightgbm,se_nsrb_xgboost,se_ranger
Australian,690,15,15985,0,0.927139291570531,0.9403798,0.9401302,0.939441905010666,0.95631890934947,0.956301713755025,0.956988449204069,0.00625951688551121,0.00974758131746723,0.00645153811255718,,,,0.0062217771635561
blood-transfusion-service-center,748,5,16795,0,0.675452929709896,0.7545867,0.7552632,0.72151129457631,0.784070060772847,0.792113863089095,0.783840729274166,0.0137883955935981,0.0266506873423692,0.0125092638079856,,,,0.0182506668299243
credit-g,1000,21,14950,0,0.790666666666667,0.7914286,0.7954762,0.797714285714286,0.821380952380953,0.831190476190476,0.819,0.0124515724042298,0.01463130485926,0.0120870631253235,,,,0.0110423724085986
kc1,2109,22,10778,0,0.828256027889212,0.8394143,0.8388319,0.83301100341815,0.845781043736435,0.844540375825292,0.850140003623581,0.0103067323424492,0.0106013179665369,0.0115374944963993,,,,0.0101397054967363
jasmine,2984,145,5143,0,0.88434325781121,0.8866436,0.8868102,0.885832349894149,0.894148041379517,0.89654228788493,0.894693962734411,0.00559981955701353,0.00486630530584565,0.00544310501215375,,,,0.00499365391013639
kr-vs-kp,3196,37,12280,0,0.999633361467846,0.9999059,0.9998938,0.999057242546749,0.999952829119882,0.999892155429527,0.999954850361197,4.90671761748926e-05,0.000139230849479588,5.75538009170546e-05,,,,0.000319843783503223
sylvine,5124,21,4156,0,0.989789833632888,0.9910253,0.9895615,0.982162980254058,0.991085975736032,0.990626157768042,0.990948771317181,0.000912019615407965,0.00128259306146027,0.000729145683507612,,,,0.0013369986296593
phoneme,5404,6,8785,0,0.966881616584246,0.9723063,0.9703522,0.960735811750647,0.970141543405407,0.965436968346144,0.968326216905136,0.00243765833924463,0.00265533747788129,0.0027189979682065,,,,0.00311925761866985
christine,5418,1637,531,0,0.823549087274391,0.828612,0.8178186,0.804034843792472,,0.827972819703597,0.830315793932847,0.00410316305901787,0.00412538075662619,0.0040968347516372,,,,0.00497127144893378
guillermo,20000,4297,762,0.099737532808399,0.918016039652204,0.9297315,0.9068246,0.899920657376192,,0.920684627886105,0.920749947743724,0.00201515118401683,0.00263784046155174,0.00269879505705787,,,,0.00310538640679411
riccardo,20000,4297,983,0.113936927772126,0.9997828,0.9998226,0.9997564,0.998583066666667,,0.9998708,0.9998952,4.29211680487202e-05,5.30773300285917e-05,6.70161174643844e-05,,,,0.000167324456013549
Amazon_employee_access,32769,10,10502,0.0499904780041897,0.896561143661484,0.8948862,0.8782126,0.812647362179038,0.907755346022958,0.86988339978743,0.871084976336888,0.00385602698757268,0.00721915663673388,0.00323081820459015,,,,0.00396292903499147
nomao,34465,119,8675,0,0.996953656781572,0.9967804,0.9965543,0.994531714464582,0.99658345023132,0.996874121610083,0.996894092945198,0.000177412400919442,0.000214864175613767,0.00021046572959352,,,,0.000235809076857645
bank-marketing,45211,17,9320,0.0410944206008584,0.937457045512735,0.9415669,0.9391333,0.933101189069023,0.939300290764459,0.938817397246257,0.939851080171622,0.00183242660880775,0.00195781654217951,0.00209943206103196,,,,0.0022766907661668
adult,48842,15,13004,0.03237465395263,0.931297677712053,0.9317201,0.9308382,0.91701232984862,0.931232944657938,0.931651617146471,0.931908271153075,0.00111491287601817,0.00132130085901969,0.00130615325627925,,,,0.00129102187097203
KDDCup09_appetency,50000,231,7279,0,0.835180253455325,0.8462116,0.8422286,0.674596354434783,0.85383283113579,0.757159689667086,0.836303848960943,0.00410940322025798,0.00559423030898553,0.00504041454688445,,,,0.00707760782427283
APSFailure,76000,171,10266,0,0.991328966276702,0.9922027,0.9918997,0.990571966373177,0.994609943610863,0.994614328701291,0.994300775109902,0.000738122107483282,0.000960802341479511,0.000819317494422439,,,,0.000699258290806024
numerai28.6,96320,22,13187,0,0.529656183979438,0.5239074,0.5306631,0.51944323409202,0.533024426064101,0.532654822877499,0.532978909285434,0.00163424674595566,0.00151656230607815,0.00116353999549268,,,,0.00178015116664133
higgs,98050,29,8940,0,0.813944999568845,0.8431651,0.8419924,0.801837780350896,0.817769644381571,0.816669351412767,0.816786016241555,0.00025055846290504,0.00207614141742915,0.000812688558633218,,,,0.00207426139122784
MiniBooNE,130064,51,3096,0.0155038759689922,0.987133776160861,0.9891384,0.9879684,0.981362207753962,,,,0.000287950234897939,0.000323888888810125,0.000303766364899813,,,,0.000368143047104423
airlines,539383,8,6490,0,0.730441935427352,0.7301134,0.7273721,0.694990665592163,,,,0.000603091778532364,0.000648809705217837,0.000583604231383636,,,,0.000466112563536697
